CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
18:36:59,0:3:6,0.24,0.76,2.3,0
18:36:59,0:3:6,0.24,0.78,2.3,0
18:37:00,0:3:7,0.24,0.78,2.3,0
18:37:00,0:3:7,0.24,0.8,2.3,0
18:37:01,0:3:8,0.24,0.8,2.3,0
18:37:01,0:3:8,0.24,0.81,2.3,0
18:37:02,0:3:9,0.24,0.81,2.3,0
18:37:02,0:3:9,0.24,0.83,2.3,0
18:37:03,0:3:10,0.24,0.83,2.3,0
18:37:03,0:3:10,0.24,0.85,2.3,0
18:37:04,0:3:11,0.24,0.85,2.3,0
18:37:04,0:3:11,0.23,0.86,2.3,0
18:37:05,0:3:12,0.23,0.86,2.3,0
18:37:05,0:3:12,0.23,0.88,2.3,0
18:37:05,0:3:13,0.23,0.88,2.3,0
18:37:06,0:3:13,0.23,0.9,2.3,0
18:37:06,0:3:14,0.23,0.9,2.3,0
18:37:07,0:3:14,0.23,0.92,2.3,0
18:37:07,0:3:15,0.23,0.92,2.3,0
18:37:08,0:3:15,0.23,0.93,2.3,0
18:37:08,0:3:16,0.23,0.93,2.3,0
18:37:09,0:3:16,0.23,0.95,2.3,0
18:37:09,0:3:17,0.23,0.95,2.3,0
18:37:10,0:3:17,0.23,0.97,2.3,0
18:37:10,0:3:18,0.23,0.97,2.3,0
18:37:11,0:3:18,0.23,0.98,2.3,0
18:37:11,0:3:19,0.23,0.98,2.3,0
18:37:12,0:3:19,0.23,0.98,2.3,0
18:37:12,0:3:20,0.23,1.0,2.3,0
18:37:13,0:3:20,0.23,1.0,2.3,0
18:37:13,0:3:21,0.23,1.02,2.3,0
18:37:14,0:3:21,0.22,1.02,2.3,0
18:37:14,0:3:22,0.22,1.03,2.3,0
18:37:15,0:3:22,0.22,1.03,2.3,0
18:37:15,0:3:23,0.22,1.05,2.3,0
18:37:16,0:3:23,0.22,1.05,2.3,0
18:37:16,0:3:24,0.22,1.07,2.3,0
18:37:17,0:3:24,0.22,1.07,2.3,0
18:37:17,0:3:25,0.22,1.08,2.3,0
18:37:18,0:3:25,0.22,1.08,2.3,0
18:37:18,0:3:26,0.22,1.1,2.3,0
18:37:19,0:3:26,0.22,1.1,2.3,0
18:37:19,0:3:27,0.22,1.12,2.3,0
18:37:20,0:3:27,0.22,1.12,2.3,0
18:37:20,0:3:28,0.22,1.13,2.3,0
18:37:21,0:3:28,0.22,1.13,2.3,0
18:37:21,0:3:29,0.22,1.15,2.3,0
18:37:22,0:3:29,0.22,1.15,2.3,0
18:37:22,0:3:30,0.22,1.17,2.3,0
18:37:23,0:3:30,0.21,1.17,2.3,0
18:37:23,0:3:31,0.22,1.19,2.3,0
18:37:24,0:3:31,0.22,1.19,2.3,0
18:37:24,0:3:32,0.22,1.2,2.3,0
18:37:25,0:3:32,0.22,1.2,2.3,0
18:37:25,0:3:33,0.21,1.22,2.3,0
18:37:26,0:3:33,0.21,1.22,2.3,0
18:37:26,0:3:34,0.21,1.24,2.3,0
18:37:27,0:3:34,0.21,1.24,2.3,0
